year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2000,2000-04-01,Argentina,ARG,ARS,2.5,1.0,2.5,-0.00398,0.05007,-0.16722,-0.09864,1.09091,,,,,,,,"8,638.54","8,638.54",26.153,-0.939,17.134
2000,2000-04-01,Australia,AUS,AUD,2.59,1.68,1.5416666666666667,-0.38579,-0.35246,-0.48645,-0.44416,0.28939,,,,,,,,"35,808.20","20,850.53",71.475,4.457,6.292
2000,2000-04-01,Brazil,BRA,BRL,2.95,1.79,1.6480446927374302,-0.34341,-0.30778,-0.45102,-0.40581,0.37836,,,,,,,,"6,900.62","3,772.05","10,780,490,489,263.20",7.044,13.9
2000,2000-04-01,Britain,GBR,GBP,1.9,0.632911392,3.00200000192128,0.19602,0.26092,0.0,0.08235,1.51076,,,,,,,,,,,,
2000,2000-04-01,Canada,CAN,CAD,2.85,1.47,1.9387755102040818,-0.22758,-0.18566,-0.35417,-0.30099,0.62152,,,,,,,,"36,090.21","24,296.72",95.375,2.719,6.833
2000,2000-04-01,Chile,CHL,CLP,1260.0,514.0,2.4513618677042803,-0.02336,0.02964,-0.18342,-0.11618,1.05023,,,,,,,,"2,736,137.97","5,071.70",56.701,3.838,9.708
2000,2000-04-01,China,CHN,CNY,9.9,8.28,1.1956521739130437,-0.52364,-0.49779,-0.60171,-0.56891,0.0,,,,,,,,"7,874.12",951.163,70.46,0.4,3.1
2000,2000-04-01,Czech Republic,CZE,CZK,54.37,39.1,1.3905370843989768,-0.446,-0.41594,-0.5368,-0.49865,0.16299,,,,,,,,"232,172.24","6,015.07",72.383,3.775,8.757
2000,2000-04-01,Denmark,DNK,DKK,24.75,8.04,3.0783582089552244,0.22644,0.29299,0.02544,0.10988,1.57463,,,,,,,,"248,950.47","30,798.72",77.492,2.751,4.317
2000,2000-04-01,Euro area,EUZ,EUR,2.56,1.075268817,2.380800000452352,-0.05147,0.0,-0.20693,-0.14162,0.99121,,,,,,,,,,,,
2000,2000-04-01,Hong Kong,HKG,HKD,10.2,7.79,1.3093709884467264,-0.47834,-0.45003,-0.56383,-0.52791,0.09511,,,,,,,,,,,,
2000,2000-04-01,Hungary,HUN,HUF,339.0,279.0,1.2150537634408602,-0.51591,-0.48964,-0.59525,-0.56192,0.01623,,,,,,,,"1,303,468.21","4,619.29",57.855,9.784,6.433
2000,2000-04-01,Indonesia,IDN,IDR,14500.0,7945.0,1.8250471994965387,-0.27289,-0.23343,-0.39206,-0.34199,0.5264,,,,,,,,"7,328,240.70",870.154,30.059,3.688,6.08
2000,2000-04-01,Israel,ISR,ILS,14.5,4.05,3.5802469135802473,0.42639,0.5038,0.19262,0.29084,1.99439,,,,,,,,"85,916.60","21,071.76",75.25,1.147,10.9
2000,2000-04-01,Japan,JPN,JPY,294.0,106.0,2.7735849056603774,0.10501,0.16498,-0.07609,0.0,1.31973,,,,,,,,"4,221,493.90","39,172.96",97.293,-0.687,4.733
