ISO	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
AFG	Afghanistan	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	"9,555.40"	"11,296.10"	"12,166.14"	"14,557.09"	"16,012.96"	"19,062.11"	"22,503.29"	"25,734.84"	"29,328.41"	"33,406.83"	"39,962.17"	"41,772.32"	"42,862.46"	"43,150.71"	"41,880.72"	"43,281.49"	"42,015.52"	"45,639.64"	"46,972.10"	n/a	n/a	2019
AFG	Afghanistan	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	233.433	233.755	254.259	294.396	320.674	381.502	447.746	511.374	631.49	714.7	784.611	754.402	746.922	705.597	617.126	635.789	582.323	586.204	611.268	n/a	n/a	2019
AFG	Afghanistan	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2015. The base is March 2015=100 Primary domestic currency: Afghan afghani Data last updated: 07/2021	n/a	n/a	31.263	42.413	49.351	54.566	58.269	63.327	80.057	74.604	76.229	85.227	90.717	97.417	101.97	101.296	105.736	110.998	111.693	114.264	120.671	n/a	n/a	2020
AFG	Afghanistan	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	n/a	n/a	n/a	35.663	16.358	10.569	6.785	8.681	26.419	-6.811	2.179	11.804	6.441	7.386	4.674	-0.662	4.384	4.976	0.626	2.302	5.607	n/a	n/a	2020
AFG	Afghanistan	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
ALB	Albania	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"162,251.41"	"184,123.19"	"200,095.80"	"222,968.14"	"243,696.87"	"267,031.94"	"291,636.22"	"325,091.66"	"366,664.68"	"390,752.87"	"425,552.92"	"447,689.08"	"459,526.46"	"466,324.39"	"482,953.89"	"497,901.38"	"511,970.55"	"537,640.48"	"567,417.75"	"582,887.09"	"558,752.52"	"598,379.50"	"636,573.89"	2020
ALB	Albania	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,127.64"	"1,283.57"	"1,425.13"	"1,846.12"	"2,373.58"	"2,673.77"	"2,972.75"	"3,595.05"	"4,370.56"	"4,114.09"	"4,097.83"	"4,439.89"	"4,248.91"	"4,415.60"	"4,584.92"	"3,953.61"	"4,124.41"	"4,525.89"	"5,254.46"	"5,305.07"	"5,152.56"	"5,837.18"	"6,284.03"	2020
ALB	Albania	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: National Statistics Office Latest actual data: 2020 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Frequency of source data: Monthly Base year: 2015 Primary domestic currency: Albanian lek Data last updated: 08/2021"	66.582	68.66	72.231	73.938	76.058	77.855	79.7	82.059	84.775	86.667	89.8	92.892	94.783	96.608	98.167	100	101.287	103.298	105.372	106.887	108.6	110.613	113.158	2020
ALB	Albania	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	0.039	3.12	5.202	2.363	2.867	2.363	2.37	2.96	3.31	2.231	3.615	3.443	2.036	1.925	1.613	1.868	1.287	1.986	2.008	1.438	1.603	1.854	2.3	2020
ALB	Albania	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Albanian lek Data last updated: 08/2021	16.8	16.44	15.751	15	14.4	14.1	13.8	13.4	13.1	13.8	14	14	13.4	15.9	17.5	17.1	15.2	13.7	12.3	11.47	11.675	12	12.5	2020
